,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,title,company,location,description,postDate,position
23,,,,,,Marketing Manager - Scale Hospitality,Scale Hospitality,"Toronto, ON","MARKETING MANAGERThe Marketing Manager is responsible for creating and executing marketing plans that drive sales and increase customer loyalty. Key components of this position include creating consumer insights, monitoring trends, creating marketing strategies and plans, developing integrated campaigns, and monitoring/improving market results. Working closely with Senior Management, the Marketing Manager will manage the day-to-day marketing activities and long-term marketing strategy for the Company. The Marketing Manager will act as an advisor to the business on all aspects of marketing, influencing business strategy, implementing sales plans, managing the Marketing department, as well as ensuring the brands are protected and delivered in the customer experience.Key Responsibilities: GeneralLead the strategic direction of all brand creation and development within the CompanyManage and coordinate the day-to-day execution of all marketing initiatives and activities within the Marketing departmentWork within the overall marketing strategy, and assist in key strategy development according to analytical findingsResponsible for all aspects of customer acquisition efforts across marketing channels (online, offline, mobile, social, events) to create demand and awarenessDevelop strategy, tools and processes to track and measure customer retentionLeverage customer insights, analytics and segmentation to increase customer retention targets in support of restaurant salesWork with other departments to ensure a cohesive and collaborative approach to ensure alignment in customer retention strategies and customer experienceSupport the CEO and senior management team by researching and leveraging business/market intelligence data and insightsConduct general market research to keep up-to-date on trends and competitor’s marketing movementsUpdate job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizationsFinancial ManagementManage department operations planning, budgeting, outsourcingMeet marketing and sales financial objectives by forecasting requirements, scheduling expenditures, analyzing variances, initiating corrective actionsDetermine annual and gross-profit plans by forecasting and developing annual sales quotas; analyzing trends and results; establishing pricing strategies; recommending selling prices; monitoring costs, competition, supply, and demandAssist with annual budget development and manage departmental budget and expensesDigital Marketing PlanningDevelop continuous optimization strategies to improve the performance of paid search strategiesManage and support all SEM/SEO initiativesDevelop and design innovative and compliant marketing materials (including but not limited to e-blasts, promotional videos/media, print and digital advertisements)Evaluate and improve process efficiencies and identify opportunities to optimize spendContent DevelopmentWork with marketing and graphic design team to develop and iterate content strategies for Scale Hospitality’s brandsAnalyze and report on content marketing data, using data to drive content decisionsWork closely with Graphic Designers to develop a strong visual signature and identity for all brandsIdentify and implement partnerships, establish and maintain relationships with influencersStrategic PlanningResponsible for planning, development, and implementation of all Company brand’s marketing strategies, marketing communication and public relations activities, both internal and external and measuring successProduce monthly marketing reports and provide actionable insights for every brandLead quarterly marketing planning for all brands, and drive strategy and growthManage all PR endeavours through liaising with external agencies on marketing initiatives and events that encourage editorial awareness and coverage across print and digital media channelsEnsure all communication is aligned with brand strategy, consistent in terms of style, quality and voice, and optimized for search and user experienceAccomplish marketing and sales objectives by planning, developing, implementing, and evaluating advertising, merchandising, and trade promotion programs; developing field sales action plansImprove product marketability and profitability by researching, identifying, and capitalizing on market opportunities; improving product packaging; coordinating new product developmentDevelop strategic marketing plans to drive sales/profits and provide recommendations to various audiences to drive market demand through existing and new distribution channelsOversee key agency relationships; including media buying, public relations, consumer experience to ensure excellence in execution and meaningful ROIOperationsProvide and report on pertinent market information by collecting, analyzing, and summarizing data and identifying trendsProtect organization's value by keeping information confidentialSustain rapport with venues and management teams by organising regular meetings; exploring specific needs; anticipating new opportunities; ensuring end-to-end communicationOversee all content creation for websites, online communities, blogs, social media platforms, and other tools that are used to market and communicate with consumersMonitor site content and ensure information displayed on the website is accurate and current and has no broken linksPersonnel ManagementLead the marketing department and continue to build a team of creative employeesConsult on the hiring, training, and performance evaluations of marketing/graphic designer staff and oversee their daily activitiesCoordinate team members with different objectives to reach a desired end resultFoster a positive working environmentDirect the efforts of the marketing, communications, and graphic design team and coordinate at the strategic and tactical levels with other departments in the CompanyMentor and coach team as requiredSkills and QualificationsDegree in Marketing, Business or related field and/or equivalent experienceIn depth knowledge / expertise of the hospitality / food & beverage service industryEvent planning & management experienceSolid business acumen and strategic business senseAbility to develop and manage business plans as well as budgetsDemonstrated impact and influence skillsExcellent communication skills – verbal, written & presentation (must have an advanced understanding of English grammar)Ability to build and maintain strong business relationships with stakeholdersProven leadership skills – people and marketplace, lead by example by demonstrating a positive attitude, a strong work ethic and willingness to learnHigh achievement motivation – demonstrated results orientationStrong analytical, problem solving, and multitasking skills, and the ability to apply consistent attention to needs of the businessWell developed problem solving and decision making capabilitiesCreative thinker, results-driven, team playerMust be well-versed in the event landscape, pop culture, and current events that are relevant to our client demographicJob Types: Full-time, PermanentSalary: $65,000.00-$75,000.00 per yearBenefits:Dental careDiscounted or free foodExtended health careLife insuranceVision careApplication question(s):Are you legally eligible to work in Canada and have a valid SIN?Are you located in Toronto, On?Work remotely:No",Posted10 days ago,manager
24,,,,,,"Assistant Store Manager, Winners, Leaside",Winners,"Toronto, ON","Hannah discovered OPPORTUNITY working at TJX
Having now worked and thrived in several of our stores, Hannah knows that opportunities for learning can be found around every corner. We like to get everyone involved in everything we do, because we always work together.
What you’ll discover
Eligible Associates can look forward to:
One-of-a-kind, inclusive culture
Benefits that take effect your first day
Dedicated training and on-the-job resources to enhance your development
Three weeks’ vacation with option to buy an additional week through our Vacation Trade Program
Tuition reimbursement to support your career progression
Merchandise discount for yourself and eligible family members at all TJX Canada stores
Associate and Family Assistance Program to support healthy living
What you’ll do
It’s safe to say, there’s no shortage of variety in what we do. Here are some key responsibilities of the role:
Overall accountability to support store sales results, expense management, reduce shrink and damages by managing assigned area that may include merchandising and presentation, backroom, frontline, cash office, customer service, markdowns, scheduling, shipping and receiving; direct accountability for recruitment, training and Associate development, performance and acts as a role model on delivering positive Associate and customer experience in Store
Provides input on succession plans to meet future needs; includes ensuring each Associate has a development plan that supports their growth and career aspirations
Communicate and execute action plans to Associates on upcoming projects, targets, priorities, company initiatives, events, promotions or any other store initiatives; implement changes to Store floor plans as needed
Accountable to support established store sales, expense targets and customer service metrics by implementing strategies with impact to store payroll, store budgets, loss prevention and improving customer service
Support competitive analysis of other retailers on merchandise mix, inventory levels, customer demographics when sales have been impacted due to cannibalization, market or competition changes to inform recommendations to District Managers and Business Development teams
For a closer look into the Assistant Store Manager role, click HERE
What you’ll need
To begin your career with us, you’ll have:
Post-secondary education is preferred; minimum high school education required
Minimum 2 to 3 years supervisory experience in Retail including but not limited to operations, customer service, merchandising, people management, health and safety and loss prevention
Demonstrated management skills with the ability to positively influence management and staff to act in the best interest of the Company by providing advice feedback and guidance to resolve problems
Strong communication and interpersonal skills including interviewing, negotiating, listening, conflict management, information gathering and coaching
Posting details
Internal TJX Associates: please review this opportunity with your direct supervisor or manager prior to applying. In order to be considered, your completed Internal Candidate Endorsement Form must be attached to your application. In addition, please use your personal email address when submitting your application.
Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. By becoming a member of our TJX Canada family, you’ll have the full support of a diverse, close-knit group of people across our Distributions Centres, Retail Stores (Winners, HomeSense, Marshalls) and our Office locations. Are you ready to Discover Different? Here at TJX Canada, we are an equal opportunity employer committed to the inclusion and accommodation of all individuals. For additional assistance please email accessiblecareers@tjxcanada.ca",Posted11 days ago,manager
25,,,,,,Clinic Manager,nurseinjectorsim,"Toronto, ON","Job OverviewHere at Toronto Eyelid Surgery/Aesthetic Lounge Toronto, we are hiring an experienced Clinic Manager to help us to grow and expand our cosmetic practice. If you're dedicated and ambitious, and ready take on a new project then don't hesitate to apply.Responsibilities for Clinic ManagerRecruit, hire and coordinate the training of new staff membersDesign and implement business strategies to help the clinic meet organizational goalsManage staff by assigning and delegating tasks as neededDevelop protocols and procedures to improve staff productivityAct as a liaison between patients and the medical aestheticians, surgeons and nursesPerform quarterly and and annual employee reviews and provide constructive feedback on their performance to help them meet professional goals*Qualifications for Clinic Manager5+ years prior experience working in a cosmetic clinic or healthcare setting5+ years of proven success in leadership roles is requiredExceptional written and verbal communication skillsAnalytical thinking skills and the ability to exercise sound judgement when making decisionsMust be customer service oriented and prepared to liaise with patients, and the other service providers in the clinicExtremely organized and detail orientedAbility to delegate tasks as neededAbility to spend long periods of time sitting at a deskJob Types: Full-time, PermanentSalary: $40,000.00-$80,000.00 per yearSchedule:8 hour shiftCOVID-19 considerations:Everyone who comes into the clinic is to follow COVID-19 protocols.Experience:Clinic Manager: 5 years (required)",Posted30+ days ago,manager
26,,,,,,Assistant General Manager,Sky Zone,"Toronto, ON","CircusTrix is the industry leader in active indoor entertainment, including brands DEFY, Rockin’ Jump, and Sky Zone Trampoline Park+. With over 300 locations worldwide we are seeking Assistant General Managers to grow with us.
At CircusTrix, we’re invested in people. We’re looking for those who embody our values and core competencies, who thrive on action and energy, and who are interested in forging a career with CircusTrix. Our Assistant General Managers understand the mechanics of parks, people, and play.
Assistant General Managers (AGM) hold some of the greatest responsibility in the parks. Working alongside the General Manager, the AGMs manage park staff ensuring smooth operation of the park and keeping in line with corporate standards. Always looking to promote from within, the AGM role is the best way to work to become a future park General Manager. If you are looking for an exciting opportunity to put your great management skills to work, apply today!
Responsibilities
The Assistant General Manager is responsible for assisting the GM in crucial KPI’s of the business. The AGM will champion projects and work directly with corporate supporting departments to oversee the execution of company initiatives. In addition, the AGM will work a portion of their week as Lead On Duty. Additional duties include:
Assist with staff duty delegation- AGMs are responsible for opening, closing, and running the parks when managers are not present.
Conduct sales and recommendation of products based on guest needs. Every team member is responsible to sell and cross-sell all our products.
Complete incident reports. Any incident or injury that occurs at the park should have an incident report as a reference that is clear, detailed, and fact-based.
AGMs must be able to handle large amounts of money and will be required to cash in tills, cash-out tills, create deposits, and be aware of basic cash-handling procedures.
Maintain a friendly, outgoing personality with our guests and team members.
Provide guests with a safe and enjoyable experience.
Coordinate birthday parties and events.
Conduct daily, weekly, and monthly maintenance checks.
Assist in managing inventory on a weekly basis.
Act as a first responder to emergencies and respond appropriately.
Help maintain a clean environment; some janitorial duties will apply.
Other duties as assigned by the General Manager.
Skills and Experience
Bachelor’s degree or at least two years management experience
Compensation
Full time with benefits
$25 - 27/hr (CAD)
Experience
Preferred
1 - 2 years: Supervisor Experience
Education
Preferred
High School or better
Behaviors
Preferred
Loyal: Shows firm and constant support to a cause
Team Player: Works well as a member of a group
Enthusiastic: Shows intense and eager enjoyment and interest
Dedicated: Devoted to a task or purpose with loyalty or integrity
Motivations
Preferred
Entrepreneurial Spirit: Inspired to perform well by an ability to drive new ventures within the business
Ability to Make an Impact: Inspired to perform well by the ability to contribute to the success of a project or the organization
Flexibility: Inspired to perform well when granted the ability to set your own schedule and goals
Growth Opportunities: Inspired to perform well by the chance to take on more responsibility
Self-Starter: Inspired to perform without outside help",Posted12 days ago,manager
27,,,,,,newproduce manager - retail,A & F Galati Limited,"North York, ON","or equivalent experience
Business Equipment and Computer Applications
Electronic scheduler
Inventory control software
Electronic mail
Work Setting
Supermarket/grocery store
Specific Skills
Determine merchandise and services to be sold
Determine staffing requirements
Manage staff and assign duties
Plan budgets and monitor revenues and expenses
Resolve problems that arise, such as customer complaints and supply shortages
Plan, organize, direct, control and evaluate daily operations
Security and Safety
Bondable
Basic security clearance
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Handling heavy loads
Attention to detail
Standing for extended periods
Tight deadlines
Ability to Supervise
5-10 people
Personal Suitability
Team player
Excellent oral communication
Excellent written communication
Organized
Collaborative
Analytical
Creativity
Efficiency
Energetic
Goal-oriented
Hardworking
Positive attitude
Time management
Benefits
Other Benefits",Posted4 days ago,manager
28,,,,,,Assistant Manager Trainee,Traction,"Toronto, ON","Hi there!

We're a venture backed start­up seeking assistant manager trainee in our Marketing Department. Earn up to $30/hour to start with rapid advancement to leadership roles at up to $40 and $50/hour.

As an assistant manager trainee, you'll be responsible for promoting the the brand targeted at small businesses within the GTA.

If you are Aggressive & Outgoing, we want to speak with you. No experience necessary, and full training provided.",Posted30+ days ago,manager
29,,,,,,"Capital Markets QTS - Developer, Summer PEY 2022 Student Opp...",RBC,"Toronto, ON","What is the opportunity?
As a Developer within Capital Markets Quantitative and Technology Services (QTS), you will gain in depth knowledge of Capital Markets and develop your skills by providing creative, development solutions to solve complex business issues. We offer a tailored approach to career development based on the growing needs of our businesses and your career aspirations. There are a variety of teams available for you to join. Based on your interest and skillset, we will match you to a team, and provide you on-the-job training and mentorship throughout your work term. By joining the QTS co-op program, you are joining a community. You will get the unique chance to meet leaders across QTS, participate in friendly competitions, and share your experience with a cohort of other students.
Some exciting areas to which you may be able to contribute are:
Trading Technology
Risk, Analytics, and Quantitative Technology
Operations Technology
Data Infrastructure
DevOps
What will you do?
Create designs, develop, code, and perform code reviews and testing of applications, as per Agile methodologies and incremental delivery
Design Unit and Integration tests for applications
Be responsible for all ranges of project work and daily support as outlined by given business requirements
Increase team efficiencies
Learn financial domain knowledge while building robust technical solutions to help the business
Analyze business requirements and translate them to technical specifications
What do you need to succeed?
Working towards a university or college degree in computer science, engineering, mathematics, or a related degree
Strong understanding of Data Structures and Algorithms
Experience with at least one programming language/framework (e.g. Java, C++, C#, JavaScript, React/Angular, Python)
Be a self-starter, with strong analytical and interpersonal skills
Ability to work in a fast-paced environment and manage multiple competing priorities
Passionate about technology and interested in Capital Markets
What’s in it for you?
Practical learning and industry experience to set you up for career success
Opportunity to build relationships and network across RBC
A glimpse into the fast-pace business of Capital Markets
The chance to deliver impactful work
Being a part of a collaborative team
Opportunity to be considered for the full-time New Grad program to build your career within Capital Markets Quantitative and Technology Services
We encourage you to apply as soon as possible as we accept applications on a rolling basis, but please note that the formal application deadline is October 24, 2021. Should you be selected to progress, someone from our team will reach out directly to provide instructions on next steps. Otherwise, feel free to check for progress updates by logging in to your RBC profile. If the status has not changed, it denotes the fact that your application is still under review.
While there is no one date when our employees will return, we can confirm that the majority of Summer Work Integrated Learning | Co-op positions will start working remotely, however may transition to working at an RBC office as essential service restrictions are lifted.
TAD2021
Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 155 Wellington Street West
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: [[filter7]]
Career Level: Student Job
Application Deadline: 11/28/2021
Platform: Capital Markets
Req ID: 430313
Ad Code(s):",Posted9 days ago,developer
30,,,,,,Software Developer (Entry-Level),Traction,"Toronto, ON","About Traction Design Group

Traction Design Group (TDG) is a next generation digital consultancy. We are dedicated to solving complex business problems for our clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.

Software Developer (Entry Level)

As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be apart of the highly-skilled development team at TDG.

Responsibilities

Write maintainable, testable, and performant software in collaboration with our world class team
Participate in code review and performing extensive testing to ensure high quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team

Successful candidates will have

Experience programming in .net or C#
Graduated from a Computer Science, Software Engineering, or similar program
Experience creating either web or native mobile applications
Experience developing eCommerce solutions
Strong command of important programming and computer science concepts
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Proactive personality and a desire to deliver your best work

",Posted30+ days ago,developer
31,,,,,,"newJunior Image Processing Software Developer, Sunnybrook Resea...",Sunnybrook Health Sciences Centre,"Toronto, ON","Junior Image Processing Software Developer, Sunnybrook Research Institute
(Temporary Full-time, 1 year with possibility of renewal)
Our multi-disciplinary dementia neuroimaging research group is seeking a Junior Image Processing Software Developer at the LC Campbell Cognitive Neurology Research Unit under the supervision of Dr. Sandra Black and Dr. Maged Goubran. Our neuroimaging lab specializes in the application and development of cutting-edge multi-modal brain image analysis techniques to study stroke, dementia, and neurodegenerative disease. The successful candidate will be responsible for assisting with the development of multi-modal neuroimaging analysis software. There will also be opportunities to develop machine learning and image analysis algorithms using large multi-site imaging studies and trials (with hundreds or thousands of subjects each), including the Ontario Neurodegenerative Disease Research Initiative (ONDRI), Canadian Consortium on Neurodegeneration in Aging (CCNA), Canadian Alliance for Healthy Hearts and Minds (CAHHM), Toronto Dementia Research Alliance (TDRA), Brain-Eye Amyloid Memory Study (BEAM), and Medical Imaging Trials Network of Canada-C6 (MITNEC-C6). This will be performed in collaboration with our internal and external international collaborators including neurologists, radiologists, surgeons, psychologists, physicists, and computer scientists. There will also be opportunities for contributing to publications and conference presentations focused on novel computational tools for neuroscience research.
Responsibilities
Design data analysis workflows incorporating existing tools and refinements
Assist with the development of brain image segmentation, registration, and morphometry software for day-to-day image processing
Contribute to research projects and publishing papers
Evaluate alternative approaches to image processing tasks to ensure robust performance across diverse neuroimaging datasets
Facilitate the process of software building, testing, packaging, and distribution
Create and maintain documentation for developers and end-users
Requirements
Post-secondary degree in computer science, engineering, or medical biophysics
One or more years of work experience in software development
A passion for computer programming, with strong skills in Python and C++
Sound knowledge of object-oriented design and programming
Intermediate knowledge of Linux and scripting
Demonstrated ability to learn quickly
Assets
Experience with machine and deep learning preferred (sklearn, Pytorch, Tensorflow, Keras, etc.)
Python software packaging, virtual environments, Anaconda/Conda, Jupyter/IPython
Advanced knowledge of Linux, including scripting and system administration
Working knowledge of FSL, FreeSurfer, SPM, MATLAB, R, ITK
Experience with version control systems (Git) and software testing
Knowledge of the software development lifecycle
Test-driven development

The position is with the Sunnybrook site of the Heart and Stroke Foundation Canadian Partnership for Stroke Recovery, the LC Campbell Cognitive Neurology Research Unit and the Sandra Black Centre for Brain Resilience and Recovery, under Dr. Sandra Black, Director. This dynamic and collegial research environment provides opportunities to participate in pioneering imaging analysis techniques that will be used to understand and treat neurovascular and neurodegenerative disease.
We thank you in advance for your interest. Only those candidates selected for an interview will be contacted. No phone calls please. Application screening will continue until a suitable candidate is identified.
In accordance with Canadian Employment and Immigration guidelines, applicants must be eligible to work in Canada. Sunnybrook Research Institute is committed to providing accessible employment practices that are in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation for disability during any stage of the recruitment process, please indicate this in your cover letter.
Sunnybrook Research Institute is strongly committed to inclusion and diversity within its community and welcomes all applicants including but not limited to: visible minorities, all religions and ethnicities, persons with disabilities, LGBTQ2
Application
To apply for this position, please:
Complete the following online questionnaire: https://goo.gl/1WvevD
Send a cover letter and Curriculum Vitae and the names of three potential references to: christopher.scott@sri.utoronto.ca
Links
Sunnybrook Research Institute: sunnybrook.ca/research
University of Toronto: utoronto.ca
Heart and Stroke Foundation Canadian Partnership for Stroke Recovery:canadianstroke.ca , www.sunnybrook.ca/research/?page=csrhome
LC Campbell Cognitive Neurology Research Unit: sunnybrook.ca/research/?page=cognitiveneurologyhome imaging.brainlab.ca
Goubran’s Medical Biophysics profile: https://medbio.utoronto.ca/faculty/goubran

Sunnybrook Research Institute is committed to providing accessible employment practices that are in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation for disability during any stage of the recruitment process, please indicate this in your cover letter.
Sunnybrook Research Institute is strongly committed to inclusion and diversity within its community and welcomes all applicants including but not limited to: visible minorities, all religions and ethnicities, persons with disabilities, LGBTQ persons, and all others who may contribute to the further diversification of ideas.
Please be advised that in order to be eligible for employment at Sunnybrook, all new hires must have received the full series of a COVID-19 vaccine or combination of COVID-19 vaccines approved by Health Canada (e.g., two doses of a two-dose vaccine series, or one dose of a single-dose vaccine series); AND have received the final dose of the COVID-19 vaccine at least 14 days ago. Medical exemptions or any other kind of requested exemption based upon the Hospital’s obligations pursuant to the Ontario Human Rights Code will be considered on a case-by-case basis.",Posted2 days ago,developer
32,,,,,,Intermediate Front-End Developer Intermediate Front-End Deve...,Common Wealth Retirement,"Toronto, ON•Remote","Common Wealth is on a mission to make it possible for every Canadian to have a financially-secure retirement. We provide a quick and easy retirement planning and saving experience, powered by an award-winning digital retirement platform. Common Wealth has earned awards for innovation and plan design from the international wealth management publication, Pensions & Investments, and for pension leadership from Canadian Investment Review magazine. As we continue to fulfill our mission and change the lives of Canadians, we continue to grow. We are currently looking for an Intermediate Front-End Developer (React) to join our team and make a significant contribution to our platform and the future of retirement in Canada. You will be reporting to our Engineering Manager and work closely with our Design and Product teams. Read more about our product and accomplishments here.What you will do: Collaborate with our product team to create new features for the application; one of the ways in which we’re changing the retirement landscape is by delivering a first-class user experience that is mobile-optimized and focused on accessibility. As a front-end developer, you will participate in story development and refinement to help define what features we will introduce into our product. You will help figure out what approach our development team needs to take and what tools to use to build it.Write and deliver code while understanding customer and business needs; once features are defined by the product team, our development team works to break it down into smaller pieces of work. As an intermediate developer, your work will be assigned from there. You will take requirements into consideration and understand the reasoning behind a particular requirement and challenge the approach if you feel there are better alternatives. You will also coordinate with our back-end team to ensure that what you’re building fits into the overall development landscape.Work on testing and automation for what you’ve created; we don’t have a separate testing team in our engineering department, which means each developer on the team is responsible for writing and automating tests for what they’ve created. In addition to writing/automating these tests, you will also work with more senior developers to get feedback on your work. You will focus on the highest-quality implementations, recognizing the importance of our product in people’s financial lives.Who you are: Curious, self-directed learner who thrives on ambiguity; from a technical perspective you can be rather junior in your skillset but your mindset needs to resemble a senior developer. What this means to us is that you’re excited by the challenge of getting a story from a product designer and you’re able to jump in and start implementing it and identify any questions you might have. You don’t need precise work requirements but can figure things out, and make the right judgement calls. You know when to ask for help and don’t mind doing so. Your initiative and eagerness to learn makes you a valuable team member.Open-minded and willing to seek out feedback; you enjoy being part of a highly collaborative team that provides a lot of internal feedback. You never feel defensive when other people look at your work and provide opinions or ask questions. You’re open to different ways of doing things and willing to let go of a path you were on if the team feels there’s a better way.Collaborative team member; you understand that great products are built through working with many different stakeholders. You are able to build strong relationships with other mission driven team members, including those outside of the engineering group. You enjoy working with our product team and hearing from our customers about how your work impacts them and our product.Someone who has worked with React in a business environment; you don’t need to be a React expert, but some experience working with it or can demonstrate an active desire to learn. Our tech stack involves Typescript, HTML/CSS and SASS for CSS processing, any experience working with the listed technologies, plus some exposure to automated testing is a bonus.Why Work with us: Working at Common Wealth provides you the opportunity to work in a well-funded start-up that is changing the lives of Canadians. Joining our team of mission-driven developers means you have an incredible amount of autonomy over your day to day work, and can help to disrupt the Canadian retirement landscape. In addition to a competitive salary (80-100k$), health and dental benefits, an additional Health Spending Account, a 5% RRSP matching program and 4 weeks of vacation, Common Wealth also offers a stock-option plan. Our team is currently working remotely and we plan to continue that practice into the future. We have an office in downtown Toronto for those that prefer to work from the office. Our growing team combines deep expertise in the key disciplines necessary to help our customers achieve retirement success. We have also formed partnerships with world-class investment and annuities providers, including BlackRock, the world’s largest asset manager, and Brookfield Annuity, a leading provider of group annuities. Our development team is willing to support your growth in whatever direction you wish. You will receive regular 1:1’s, and bi-annual performance reviews where managers actively help you build learning and development plans.To Apply: We are a respectful workplace committed to building a skilled and diverse workforce. We believe in fostering an inclusive work environment where all individuals have an opportunity to succeed. We welcome and encourage applications from everyone. We look forward to hearing from you!Job Types: Full-time, PermanentSalary: $80,000.00-$100,000.00 per yearBenefits:Casual dressCompany eventsDental careExtended health careFlexible scheduleLife insurancePaid time offRRSP matchVision careWork from homeSchedule:Monday to FridayWork remotely:Yes",Posted9 days ago,developer
33,,,,,,"Software Developer Intern, Bachelors, Summer 2022",Google,"Toronto, ON","Please complete your application before December 3rd, 2021.
Participation in the internship program requires that you are located in Canada for the duration of the internship program.
This internship is intended for students who are pursuing an Bachelor's degree program in Computer Science or a related field with an anticipated graduation date on or after December 2022, depending on their program and unique circumstances.
To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. Click on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred):
1. In the “Resume Section:” attach an updated CV or resume.
2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.
Under “Degree Status,” select “Now attending” to upload a transcript.
Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Waterloo, ON, Canada; Montreal, QC, Canada; Toronto, ON, Canada.
Minimum qualifications:

Pursuing a Bachelor's degree program or post secondary or training experience with a focus on subjects in software development or other technical related field.
Experience in Software Development and coding in a general purpose programming language.
Experience coding in two of C, C++, Java, JavaScript, Python or similar.
Preferred qualifications:

Currently attending a degree program in the Canada and available to work full time for a minimum of 12 weeks outside of university term time.
Anticipated graduation by December 2022 or returning to a degree program after completion of the internship.
Experience with data structures or algorithms gathered from inside or outside of school or work.
Experience programming in three or more of C, C++, C#, Java, JavaScript, Go, Python or similar.
Experience with web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, or security software development.
Ability to speak and write in English fluently.
About the job
Join us for a unique 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. The Software Developer Internship program will give you an opportunity to work on complex computer science solutions, develop scalable, distributed software systems, and also collaborate on multitudes of smaller projects that have universal appeal.
We offer a range of internships in either Software Developing or Site-Reliability Developing across North America, including the US and Canada. Our recruitment team will determine where you fit best based on your resume.
Software Developer Intern:

As a key member of a versatile team, you will work on a specific project critical to Google’s needs. We need our developers to be versatile and enthusiastic in addressing new problems as we continue to push technology forward. You will design, test, deploy and maintain software solutions as you grow and evolve during your internship.
Site Reliability Intern:

Our developers create, fix, extend and scale the code to keep it working and to harden it against all the bad actors of the internet. We drive reliability and performance on a massive scale. You will work on software development projects to keep important systems up and running, from code-level troubleshooting of traffic anomalies to maintenance of our most cutting-edge services, from monitoring and alerts to building new automation infrastructure.
Google is and always will be a developing company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, developers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google developers are changing the world one technological achievement after another.
Responsibilities
Create and support a team. This includes working with peers, managers, and teams.
Develop scripts to automate routine tasks.
Analyze information and evaluate results to choose the best solution to effectively solve problems.
Apply knowledge gained in computer science courses to real world problems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",Posted30+ days ago,developer
